Ngày khớp lệnh,NAV/CQQ khớp lệnh,Khối lượng khớp lệnh,Vốn đầu tư,Giá trị khớp lệnh,Thời gian nắm giữ,Phí bán,Thuế TNCN,Tỉ lệ sinh lời (trước thuế / phí),Lợi nhuận (trước thuế / phí),Giá trị đầu tư (trước thuế / phí),Tỉ lệ sinh lời (sau thuế / phí),Lợi nhuận (sau thuế / phí),Giá trị đầu tư (sau thuế / phí)
27/01/2026,"107.785,37 đ","13,91",1.500.000 VN₫,"1.499.294,50 đ",221,"1,50%","0,10%","-11,19%","-167.902,59 đ","1.332.097,41 đ","-12,61%","-189.196,17 đ","1.310.803,83 đ"
20/01/2026,"111.407,99 đ","13,46",1.500.000 VN₫,"1.499.551,55 đ",228,"1,50%","0,10%","-14,07%","-210.997,04 đ","1.289.002,96 đ","-15,44%","-231.601,76 đ","1.268.398,24 đ"
13/01/2026,"110.744,79 đ","13,54",1.500.000 VN₫,"1.499.484,46 đ",235,"1,50%","0,10%","-13,56%","-203.335,81 đ","1.296.664,19 đ","-14,94%","-224.062,98 đ","1.275.937,02 đ"
06/01/2026,"108.114,64 đ","13,87",1.500.000 VN₫,"1.499.550,06 đ",242,"1,50%","0,10%","-11,45%","-171.733,21 đ","1.328.266,79 đ","-12,86%","-192.965,55 đ","1.307.034,45 đ"
30/12/2025,"106.420,05 đ","5,63",600.000 VN₫,"599.144,88 đ",249,"1,50%","0,10%","-10,14%","-60.840,52 đ","539.159,48 đ","-11,58%","-69.458,98 đ","530.541,02 đ"
23/12/2025,"105.900,56 đ","5,66",600.000 VN₫,"599.397,17 đ",256,"1,50%","0,10%","-9,66%","-57.967,55 đ","542.032,45 đ","-11,11%","-66.631,94 đ","533.368,06 đ"
16/12/2025,"99.306,70 đ","6,04",600.000 VN₫,"599.812,47 đ",263,"1,50%","0,10%","-3,60%","-21.576,68 đ","578.423,32 đ","-5,14%","-30.822,78 đ","569.177,22 đ"
28/10/2025,"104.490,76 đ","4,78",500.000 VN₫,"499.465,83 đ",312,"1,50%","0,10%","-8,45%","-42.241,15 đ","457.758,85 đ","-9,91%","-49.558,42 đ","450.441,58 đ"
21/10/2025,"106.592,54 đ","4,69",500.000 VN₫,"499.919,01 đ",319,"1,50%","0,10%","-10,17%","-50.860,04 đ","449.139,96 đ","-11,61%","-58.039,54 đ","441.960,46 đ"
14/10/2025,"114.460,71 đ","4,36",500.000 VN₫,"499.048,70 đ",326,"1,50%","0,10%","-16,49%","-82.462,64 đ","417.537,36 đ","-17,83%","-89.136,97 đ","410.863,03 đ"
07/10/2025,"109.039,08 đ","4,58",500.000 VN₫,"499.398,99 đ",333,"1,50%","0,10%","-12,28%","-61.394,24 đ","438.605,76 đ","-13,68%","-68.405,35 đ","431.594,65 đ"
30/09/2025,"107.417,05 đ","1,86",200.000 VN₫,"199.795,71 đ",340,"1,50%","0,10%","-10,94%","-21.876,26 đ","178.123,74 đ","-12,36%","-24.723,57 đ","175.276,43 đ"
23/09/2025,"105.173,46 đ","0,95",100.000 VN₫,"99.914,79 đ",347,"1,50%","0,10%","-9,02%","-9.022,82 đ","90.977,18 đ","-10,48%","-10.477,09 đ","89.522,91 đ"
,"108.151,49 đ","93,33",10.100.000 VN₫,"10.093.778,10 đ",,,,"-11,51%","-1.162.210,55 đ","8.937.789,45 đ","-12,92%","-1.305.081,12 đ","8.794.918,88 đ"
