Ngày khớp lệnh,NAV/CQQ khớp lệnh,Khối lượng khớp lệnh,Vốn đầu tư,Giá trị khớp lệnh,Thời gian nắm giữ,Phí bán,Thuế TNCN,Tỉ lệ sinh lời (trước thuế / phí),Lợi nhuận (trước thuế / phí),Giá trị đầu tư (trước thuế / phí),Tỉ lệ sinh lời (sau thuế / phí),Lợi nhuận (sau thuế / phí),Giá trị đầu tư (sau thuế / phí)
28/08/2026,"42.753,74 đ","7,01",300.000 VN₫,"299.703,72 đ",8,"3,00%","0,10%","-1,88%","-5.646,88 đ","294.353,12 đ","-4,92%","-14.762,99 đ","285.237,01 đ"
27/08/2026,"42.638,27 đ","7,03",300.000 VN₫,"299.747,04 đ",9,"3,00%","0,10%","-1,60%","-4.807,07 đ","295.192,93 đ","-4,65%","-13.949,19 đ","286.050,81 đ"
26/08/2026,"42.125,75 đ","7,12",300.000 VN₫,"299.935,34 đ",10,"3,00%","0,10%","-0,34%","-1.027,92 đ","298.972,08 đ","-3,43%","-10.287,09 đ","289.712,91 đ"
25/08/2026,"42.457,18 đ","7,06",300.000 VN₫,"299.747,69 đ",11,"3,00%","0,10%","-1,18%","-3.547,35 đ","296.452,65 đ","-4,24%","-12.728,49 đ","287.271,51 đ"
24/08/2026,"42.292,12 đ","7,09",300.000 VN₫,"299.851,13 đ",12,"3,00%","0,10%","-0,76%","-2.287,64 đ","297.712,36 đ","-3,84%","-11.507,79 đ","288.492,21 đ"
21/08/2026,"41.404,12 đ","7,24",300.000 VN₫,"299.765,83 đ",15,"3,00%","0,10%","1,34%","4.010,93 đ","304.010,93 đ","-1,80%","-5.404,29 đ","294.595,71 đ"
20/08/2026,"41.086,53 đ","7,3",300.000 VN₫,"299.931,67 đ",16,"3,00%","0,10%","2,18%","6.530,36 đ","306.530,36 đ","-0,99%","-2.962,89 đ","297.037,11 đ"
19/08/2026,"41.155,00 đ","7,28",300.000 VN₫,"299.608,40 đ",17,"3,00%","0,10%","1,90%","5.690,55 đ","305.690,55 đ","-1,26%","-3.776,69 đ","296.223,31 đ"
18/08/2026,"41.243,13 đ","7,27",300.000 VN₫,"299.837,56 đ",18,"3,00%","0,10%","1,76%","5.270,64 đ","305.270,64 đ","-1,39%","-4.183,59 đ","295.816,41 đ"
17/08/2026,"41.066,64 đ","7,3",300.000 VN₫,"299.786,47 đ",19,"3,00%","0,10%","2,18%","6.530,36 đ","306.530,36 đ","-0,99%","-2.962,89 đ","297.037,11 đ"
14/08/2026,"41.536,04 đ","7,22",300.000 VN₫,"299.890,21 đ",22,"3,00%","0,10%","1,06%","3.171,12 đ","303.171,12 đ","-2,07%","-6.218,09 đ","293.781,91 đ"
13/08/2026,"41.850,71 đ","7,16",300.000 VN₫,"299.651,08 đ",23,"3,00%","0,10%","0,22%","651,69 đ","300.651,69 đ","-2,89%","-8.659,49 đ","291.340,51 đ"
12/08/2026,"41.662,66 đ","7,2",300.000 VN₫,"299.971,15 đ",24,"3,00%","0,10%","0,78%","2.331,31 đ","302.331,31 đ","-2,34%","-7.031,89 đ","292.968,11 đ"
11/08/2026,"41.791,93 đ","7,17",300.000 VN₫,"299.648,14 đ",25,"3,00%","0,10%","0,36%","1.071,60 đ","301.071,60 đ","-2,75%","-8.252,59 đ","291.747,41 đ"
10/08/2026,"41.230,19 đ","7,27",300.000 VN₫,"299.743,48 đ",26,"3,00%","0,10%","1,76%","5.270,64 đ","305.270,64 đ","-1,39%","-4.183,59 đ","295.816,41 đ"
07/08/2026,"40.789,29 đ","7,35",300.000 VN₫,"299.801,28 đ",29,"3,00%","0,10%","2,88%","8.629,88 đ","308.629,88 đ","-0,31%","-928,39 đ","299.071,61 đ"
06/08/2026,"41.156,34 đ","7,28",300.000 VN₫,"299.618,16 đ",30,"2,00%","0,10%","1,90%","5.690,55 đ","305.690,55 đ","-0,24%","-722,84 đ","299.277,16 đ"
05/08/2026,"41.223,17 đ","7,27",300.000 VN₫,"299.692,45 đ",31,"2,00%","0,10%","1,76%","5.270,64 đ","305.270,64 đ","-0,38%","-1.133,93 đ","298.866,07 đ"
04/08/2026,"41.057,35 đ","7,3",300.000 VN₫,"299.718,66 đ",32,"2,00%","0,10%","2,18%","6.530,36 đ","306.530,36 đ","0,03%","99,35 đ","300.099,35 đ"
03/08/2026,"39.809,35 đ","7,53",300.000 VN₫,"299.764,41 đ",33,"2,00%","0,10%","5,40%","16.188,16 đ","316.188,16 đ","3,18%","9.554,54 đ","309.554,54 đ"
31/07/2026,"39.950,11 đ","7,5",300.000 VN₫,"299.625,83 đ",36,"2,00%","0,10%","4,98%","14.928,45 đ","314.928,45 đ","2,77%","8.321,25 đ","308.321,25 đ"
30/07/2026,"39.041,91 đ","7,68",300.000 VN₫,"299.841,87 đ",37,"2,00%","0,10%","7,50%","22.486,73 đ","322.486,73 đ","5,24%","15.720,96 đ","315.720,96 đ"
29/07/2026,"38.626,57 đ","7,76",300.000 VN₫,"299.742,18 đ",38,"2,00%","0,10%","8,62%","25.845,97 đ","325.845,97 đ","6,34%","19.009,72 đ","319.009,72 đ"
28/07/2026,"38.110,75 đ","7,87",300.000 VN₫,"299.931,60 đ",39,"2,00%","0,10%","10,15%","30.464,92 đ","330.464,92 đ","7,84%","23.531,77 đ","323.531,77 đ"
27/07/2026,"38.637,58 đ","7,76",300.000 VN₫,"299.827,62 đ",40,"2,00%","0,10%","8,62%","25.845,97 đ","325.845,97 đ","6,34%","19.009,72 đ","319.009,72 đ"
