Ngày khớp lệnh,NAV/CQQ khớp lệnh,Khối lượng khớp lệnh,Vốn đầu tư,Giá trị khớp lệnh,Thời gian nắm giữ,Phí bán,Thuế TNCN,Tỉ lệ sinh lời (trước thuế / phí),Lợi nhuận (trước thuế / phí),Giá trị đầu tư (trước thuế / phí),Tỉ lệ sinh lời (sau thuế / phí),Lợi nhuận (sau thuế / phí),Giá trị đầu tư (sau thuế / phí)
16/06/2026,"16.691,55 đ","89,86",1.500.000 VN₫,"1.499.902,68 đ",81,"2,00%","0,10%","-7,19%","-107.795,43 đ","1.392.204,57 đ","-9,13%","-137.003,88 đ","1.362.996,12 đ"
09/06/2026,"16.349,56 đ","91,74",1.500.000 VN₫,"1.499.908,63 đ",88,"2,00%","0,10%","-5,24%","-78.668,51 đ","1.421.331,49 đ","-7,23%","-108.488,05 đ","1.391.511,95 đ"
02/06/2026,"16.718,26 đ","89,72",1.500.000 VN₫,"1.499.962,29 đ",95,"2,00%","0,10%","-7,33%","-109.964,45 đ","1.390.035,55 đ","-9,28%","-139.127,40 đ","1.360.872,60 đ"
26/05/2026,"16.778,36 đ","89,4",1.500.000 VN₫,"1.499.985,38 đ",102,"2,00%","0,10%","-7,66%","-114.922,22 đ","1.385.077,78 đ","-9,60%","-143.981,16 đ","1.356.018,84 đ"
19/05/2026,"17.039,85 đ","88,02",1.500.000 VN₫,"1.499.847,60 đ",109,"2,00%","0,10%","-9,09%","-136.302,62 đ","1.363.697,38 đ","-10,99%","-164.912,99 đ","1.335.087,01 đ"
12/05/2026,"17.054,87 đ","87,95",1.500.000 VN₫,"1.499.975,82 đ",116,"2,00%","0,10%","-9,16%","-137.387,13 đ","1.362.612,87 đ","-11,06%","-165.974,75 đ","1.334.025,25 đ"
05/05/2026,"17.175,80 đ","87,33",1.500.000 VN₫,"1.499.962,61 đ",123,"2,00%","0,10%","-9,80%","-146.992,82 đ","1.353.007,18 đ","-11,69%","-175.378,91 đ","1.324.621,09 đ"
21/04/2026,"17.644,40 đ","85,01",1.500.000 VN₫,"1.499.950,44 đ",137,"2,00%","0,10%","-12,20%","-182.936,67 đ","1.317.063,33 đ","-14,04%","-210.568,66 đ","1.289.431,34 đ"
14/04/2026,"17.381,08 đ","86,3",1.500.000 VN₫,"1.499.987,20 đ",144,"2,00%","0,10%","-10,86%","-162.950,65 đ","1.337.049,35 đ","-12,73%","-191.001,94 đ","1.308.998,06 đ"
07/04/2026,"16.839,91 đ","89,07",1.500.000 VN₫,"1.499.930,78 đ",151,"2,00%","0,10%","-8,00%","-120.034,93 đ","1.379.965,07 đ","-9,93%","-148.986,59 đ","1.351.013,41 đ"
31/03/2026,"17.289,94 đ","86,75",1.500.000 VN₫,"1.499.902,30 đ",158,"2,00%","0,10%","-10,40%","-155.978,78 đ","1.344.021,22 đ","-12,28%","-184.176,35 đ","1.315.823,65 đ"
24/03/2026,"16.421,23 đ","91,34",1.500.000 VN₫,"1.499.915,15 đ",165,"2,00%","0,10%","-5,66%","-84.865,73 đ","1.415.134,27 đ","-7,64%","-114.555,24 đ","1.385.444,76 đ"
17/03/2026,"17.130,04 đ","87,56",1.500.000 VN₫,"1.499.906,30 đ",172,"2,00%","0,10%","-9,56%","-143.429,42 đ","1.356.570,58 đ","-11,46%","-171.890,27 đ","1.328.109,73 đ"
10/03/2026,"16.307,39 đ","91,98",1.500.000 VN₫,"1.499.953,73 đ",179,"2,00%","0,10%","-5,00%","-74.950,18 đ","1.425.049,82 đ","-6,99%","-104.847,73 đ","1.395.152,27 đ"
03/03/2026,"18.355,97 đ","81,71",1.500.000 VN₫,"1.499.866,31 đ",186,"2,00%","0,10%","-15,60%","-234.063,70 đ","1.265.936,30 đ","-17,37%","-260.623,05 đ","1.239.376,95 đ"
24/02/2026,"18.377,30 đ","81,62",1.500.000 VN₫,"1.499.955,23 đ",193,"2,00%","0,10%","-15,70%","-235.458,08 đ","1.264.541,92 đ","-17,47%","-261.988,16 đ","1.238.011,84 đ"
10/02/2026,"17.803,42 đ","84,25",1.500.000 VN₫,"1.499.938,14 đ",207,"2,00%","0,10%","-12,98%","-194.711,38 đ","1.305.288,62 đ","-14,81%","-222.096,34 đ","1.277.903,66 đ"
03/02/2026,"18.243,31 đ","82,22",1.500.000 VN₫,"1.499.964,95 đ",214,"2,00%","0,10%","-15,08%","-226.162,25 đ","1.273.837,75 đ","-16,86%","-252.887,37 đ","1.247.112,63 đ"
,"17.177,43 đ","1571,83",27.000.000 VN₫,"26.998.815,54 đ",,,,"-9,81%","-2.647.574,94 đ","24.352.425,06 đ","-11,70%","-3.158.488,81 đ","23.841.511,19 đ"
