Ngày khớp lệnh,Mã CCQ,NAV/CQQ khớp lệnh,Khối lượng khớp lệnh,Giá trị khớp lệnh,Vốn đầu tư
2025-09-23,DCDS,"105,173.46 VN₫",0.95,"99,914.79 VN₫","100,000.00 VN₫"
2025-09-30,DCDS,"107,417.05 VN₫",1.86,"199,795.71 VN₫","200,000.00 VN₫"
2025-10-07,DCDS,"109,039.08 VN₫",4.58,"499,398.99 VN₫","500,000.00 VN₫"
2025-10-14,DCDS,"114,460.71 VN₫",4.36,"499,048.70 VN₫","500,000.00 VN₫"
2025-10-21,DCDS,"106,592.54 VN₫",4.69,"499,919.01 VN₫","500,000.00 VN₫"
2025-10-28,DCDS,"104,490.76 VN₫",4.78,"499,465.83 VN₫","500,000.00 VN₫"
2025-11-04,VCBFBCF,"42,434.36 VN₫",11.78,"499,876.76 VN₫","500,000.00 VN₫"
2025-11-11,VCBFBCF,"41,339.58 VN₫",12.09,"499,795.52 VN₫","500,000.00 VN₫"
2025-11-18,VCBFBCF,"42,853.39 VN₫",11.66,"499,670.53 VN₫","500,000.00 VN₫"
2025-11-25,VCBFBCF,"42,555.42 VN₫",11.74,"499,600.63 VN₫","500,000.00 VN₫"
2025-12-02,VCBFBCF,"42,587.20 VN₫",11.74,"499,973.73 VN₫","500,000.00 VN₫"
2025-12-09,VCBFBCF,"43,528.33 VN₫",11.48,"499,705.23 VN₫","500,000.00 VN₫"
2025-12-16,DCDS,"99,306.70 VN₫",6.04,"599,812.47 VN₫","600,000.00 VN₫"
2025-12-23,DCDS,"105,900.56 VN₫",5.66,"599,397.17 VN₫","600,000.00 VN₫"
2025-12-30,DCDS,"106,420.05 VN₫",5.63,"599,144.88 VN₫","600,000.00 VN₫"
2026-01-06,DCDS,"108,114.64 VN₫",13.87,"1,499,550.06 VN₫","1,500,000.00 VN₫"
2026-01-13,DCDS,"110,744.79 VN₫",13.54,"1,499,484.46 VN₫","1,500,000.00 VN₫"
2026-01-20,DCDS,"111,407.99 VN₫",13.46,"1,499,551.55 VN₫","1,500,000.00 VN₫"
2026-01-27,DCDS,"107,785.37 VN₫",13.91,"1,499,294.50 VN₫","1,500,000.00 VN₫"
2026-02-03,VMEEF,"18,243.31 VN₫",82.22,"1,499,964.95 VN₫","1,500,000.00 VN₫"
2026-02-10,VMEEF,"17,803.42 VN₫",84.25,"1,499,938.14 VN₫","1,500,000.00 VN₫"
2026-02-24,VMEEF,"18,377.30 VN₫",81.62,"1,499,955.23 VN₫","1,500,000.00 VN₫"
2026-03-03,VMEEF,"18,355.97 VN₫",81.71,"1,499,866.31 VN₫","1,500,000.00 VN₫"
2026-03-10,VMEEF,"16,307.39 VN₫",91.98,"1,499,953.73 VN₫","1,500,000.00 VN₫"
2026-03-17,VMEEF,"17,130.04 VN₫",87.56,"1,499,906.30 VN₫","1,500,000.00 VN₫"
2026-03-24,VMEEF,"16,421.23 VN₫",91.34,"1,499,915.15 VN₫","1,500,000.00 VN₫"
2026-03-31,VMEEF,"17,289.94 VN₫",86.75,"1,499,902.30 VN₫","1,500,000.00 VN₫"
2026-04-07,VMEEF,"16,839.91 VN₫",89.07,"1,499,930.78 VN₫","1,500,000.00 VN₫"
2026-04-14,VMEEF,"17,381.08 VN₫",86.30,"1,499,987.20 VN₫","1,500,000.00 VN₫"
2026-04-21,VMEEF,"17,644.40 VN₫",85.01,"1,499,950.44 VN₫","1,500,000.00 VN₫"
2026-05-05,VMEEF,"17,175.80 VN₫",87.33,"1,499,962.61 VN₫","1,500,000.00 VN₫"
2026-05-12,VMEEF,"17,054.87 VN₫",87.95,"1,499,975.82 VN₫","1,500,000.00 VN₫"
2026-05-19,VMEEF,"17,039.85 VN₫",88.02,"1,499,847.60 VN₫","1,500,000.00 VN₫"
2026-05-26,VMEEF,"16,778.36 VN₫",89.40,"1,499,985.38 VN₫","1,500,000.00 VN₫"
2026-06-02,VMEEF,"16,718.26 VN₫",89.72,"1,499,962.29 VN₫","1,500,000.00 VN₫"
2026-06-09,VMEEF,"16,349.56 VN₫",91.74,"1,499,908.63 VN₫","1,500,000.00 VN₫"
2026-06-16,VMEEF,"16,691.55 VN₫",89.86,"1,499,902.68 VN₫","1,500,000.00 VN₫"
2026-06-24,VCBFBCF,"43,211.47 VN₫",6.94,"299,887.60 VN₫","300,000.00 VN₫"
2026-07-07,VCBFBCF,"42,952.21 VN₫",6.98,"299,806.43 VN₫","300,000.00 VN₫"
2026-07-08,VCBFBCF,"42,936.14 VN₫",6.98,"299,694.26 VN₫","300,000.00 VN₫"
2026-07-09,VCBFBCF,"43,136.11 VN₫",6.95,"299,795.96 VN₫","300,000.00 VN₫"
2026-07-10,VCBFBCF,"42,810.18 VN₫",7.00,"299,671.26 VN₫","300,000.00 VN₫"
2026-07-13,VCBFBCF,"42,273.97 VN₫",7.09,"299,722.45 VN₫","300,000.00 VN₫"
