Ngày khớp lệnh,Mã CCQ,NAV/CQQ khớp lệnh,Khối lượng khớp lệnh,Giá trị khớp lệnh,Vốn đầu tư
2025-09-23,DCDS,"105,173.46 VN₫",0.95,"99,914.79 VN₫","100,000.00 VN₫"
2025-09-30,DCDS,"107,417.05 VN₫",1.86,"199,795.71 VN₫","200,000.00 VN₫"
2025-10-07,DCDS,"109,039.08 VN₫",4.58,"499,398.99 VN₫","500,000.00 VN₫"
2025-10-14,DCDS,"114,460.71 VN₫",4.36,"499,048.70 VN₫","500,000.00 VN₫"
2025-10-21,DCDS,"106,592.54 VN₫",4.69,"499,919.01 VN₫","500,000.00 VN₫"
2025-10-28,DCDS,"104,490.76 VN₫",4.78,"499,465.83 VN₫","500,000.00 VN₫"
2025-12-16,DCDS,"99,306.70 VN₫",6.04,"599,812.47 VN₫","600,000.00 VN₫"
2025-12-23,DCDS,"105,900.56 VN₫",5.66,"599,397.17 VN₫","600,000.00 VN₫"
2025-12-30,DCDS,"106,420.05 VN₫",5.63,"599,144.88 VN₫","600,000.00 VN₫"
2026-01-06,DCDS,"108,114.64 VN₫",13.87,"1,499,550.06 VN₫","1,500,000.00 VN₫"
2026-01-13,DCDS,"110,744.79 VN₫",13.54,"1,499,484.46 VN₫","1,500,000.00 VN₫"
2026-01-20,DCDS,"111,407.99 VN₫",13.46,"1,499,551.55 VN₫","1,500,000.00 VN₫"
2026-01-27,DCDS,"107,785.37 VN₫",13.91,"1,499,294.50 VN₫","1,500,000.00 VN₫"
