Ngày khớp lệnh,Mã CCQ,NAV/CQQ khớp lệnh,Khối lượng khớp lệnh,Giá trị khớp lệnh,Vốn đầu tư
2025-11-04,VCBFBCF,"42,434.36 VN₫",11.78,"499,876.76 VN₫","500,000.00 VN₫"
2025-11-11,VCBFBCF,"41,339.58 VN₫",12.09,"499,795.52 VN₫","500,000.00 VN₫"
2025-11-18,VCBFBCF,"42,853.39 VN₫",11.66,"499,670.53 VN₫","500,000.00 VN₫"
2025-11-25,VCBFBCF,"42,555.42 VN₫",11.74,"499,600.63 VN₫","500,000.00 VN₫"
2025-12-02,VCBFBCF,"42,587.20 VN₫",11.74,"499,973.73 VN₫","500,000.00 VN₫"
2025-12-09,VCBFBCF,"43,528.33 VN₫",11.48,"499,705.23 VN₫","500,000.00 VN₫"
2026-06-24,VCBFBCF,"43,211.47 VN₫",6.94,"299,887.60 VN₫","300,000.00 VN₫"
2026-07-07,VCBFBCF,"42,952.21 VN₫",6.98,"299,806.43 VN₫","300,000.00 VN₫"
2026-07-08,VCBFBCF,"42,936.14 VN₫",6.98,"299,694.26 VN₫","300,000.00 VN₫"
2026-07-09,VCBFBCF,"43,136.11 VN₫",6.95,"299,795.96 VN₫","300,000.00 VN₫"
2026-07-10,VCBFBCF,"42,810.18 VN₫",7.00,"299,671.26 VN₫","300,000.00 VN₫"
2026-07-13,VCBFBCF,"42,273.97 VN₫",7.09,"299,722.45 VN₫","300,000.00 VN₫"
2026-07-14,VCBFBCF,"41,723.89 VN₫",7.19,"299,994.77 VN₫","300,000.00 VN₫"
2026-07-15,VCBFBCF,"42,059.23 VN₫",7.13,"299,882.31 VN₫","300,000.00 VN₫"
2026-07-16,VCBFBCF,"41,370.85 VN₫",7.25,"299,938.66 VN₫","300,000.00 VN₫"
2026-07-17,VCBFBCF,"41,669.88 VN₫",7.19,"299,606.44 VN₫","300,000.00 VN₫"
2026-07-20,VCBFBCF,"41,470.28 VN₫",7.23,"299,830.12 VN₫","300,000.00 VN₫"
2026-07-21,VCBFBCF,"40,209.81 VN₫",7.46,"299,965.18 VN₫","300,000.00 VN₫"
2026-07-22,VCBFBCF,"39,971.13 VN₫",7.50,"299,783.48 VN₫","300,000.00 VN₫"
2026-07-23,VCBFBCF,"38,926.02 VN₫",7.70,"299,730.35 VN₫","300,000.00 VN₫"
2026-07-24,VCBFBCF,"39,048.70 VN₫",7.68,"299,894.02 VN₫","300,000.00 VN₫"
2026-07-27,VCBFBCF,"38,637.58 VN₫",7.76,"299,827.62 VN₫","300,000.00 VN₫"
2026-07-28,VCBFBCF,"38,110.75 VN₫",7.87,"299,931.60 VN₫","300,000.00 VN₫"
2026-07-29,VCBFBCF,"38,626.57 VN₫",7.76,"299,742.18 VN₫","300,000.00 VN₫"
2026-07-30,VCBFBCF,"39,041.91 VN₫",7.68,"299,841.87 VN₫","300,000.00 VN₫"
2026-07-31,VCBFBCF,"39,950.11 VN₫",7.50,"299,625.83 VN₫","300,000.00 VN₫"
2026-08-03,VCBFBCF,"39,809.35 VN₫",7.53,"299,764.41 VN₫","300,000.00 VN₫"
2026-08-04,VCBFBCF,"41,057.35 VN₫",7.30,"299,718.65 VN₫","300,000.00 VN₫"
2026-08-05,VCBFBCF,"41,223.17 VN₫",7.27,"299,692.45 VN₫","300,000.00 VN₫"
2026-08-06,VCBFBCF,"41,156.34 VN₫",7.28,"299,618.16 VN₫","300,000.00 VN₫"
2026-08-07,VCBFBCF,"40,789.29 VN₫",7.35,"299,801.28 VN₫","300,000.00 VN₫"
2026-08-10,VCBFBCF,"41,230.19 VN₫",7.27,"299,743.48 VN₫","300,000.00 VN₫"
2026-08-11,VCBFBCF,"41,791.93 VN₫",7.17,"299,648.14 VN₫","300,000.00 VN₫"
2026-08-12,VCBFBCF,"41,662.66 VN₫",7.20,"299,971.15 VN₫","300,000.00 VN₫"
2026-08-13,VCBFBCF,"41,850.71 VN₫",7.16,"299,651.08 VN₫","300,000.00 VN₫"
2026-08-14,VCBFBCF,"41,536.04 VN₫",7.22,"299,890.21 VN₫","300,000.00 VN₫"
2026-08-17,VCBFBCF,"41,066.64 VN₫",7.30,"299,786.47 VN₫","300,000.00 VN₫"
2026-08-18,VCBFBCF,"41,243.13 VN₫",7.27,"299,837.56 VN₫","300,000.00 VN₫"
2026-08-19,VCBFBCF,"41,155.00 VN₫",7.28,"299,608.40 VN₫","300,000.00 VN₫"
2026-08-20,VCBFBCF,"41,086.53 VN₫",7.30,"299,931.67 VN₫","300,000.00 VN₫"
2026-08-21,VCBFBCF,"41,404.12 VN₫",7.24,"299,765.83 VN₫","300,000.00 VN₫"
2026-08-24,VCBFBCF,"42,292.12 VN₫",7.09,"299,851.13 VN₫","300,000.00 VN₫"
2026-08-25,VCBFBCF,"42,457.18 VN₫",7.06,"299,747.69 VN₫","300,000.00 VN₫"
2026-08-26,VCBFBCF,"42,125.75 VN₫",7.12,"299,935.34 VN₫","300,000.00 VN₫"
2026-08-27,VCBFBCF,"42,638.27 VN₫",7.03,"299,747.04 VN₫","300,000.00 VN₫"
2026-08-28,VCBFBCF,"42,753.74 VN₫",7.01,"299,703.72 VN₫","300,000.00 VN₫"
2026-09-03,VCBFBCF,"42,724.63 VN₫",7.02,"299,926.90 VN₫","300,000.00 VN₫"
2026-09-04,VCBFBCF,"41,990.46 VN₫",7.14,"299,811.88 VN₫","300,000.00 VN₫"
