Ngày khớp lệnh,Mã CCQ,NAV/CQQ khớp lệnh,Khối lượng khớp lệnh,Giá trị khớp lệnh,Vốn đầu tư
2026-02-03,VMEEF,"18,243.31 VN₫",82.22,"1,499,964.95 VN₫","1,500,000.00 VN₫"
2026-02-10,VMEEF,"17,803.42 VN₫",84.25,"1,499,938.14 VN₫","1,500,000.00 VN₫"
2026-02-24,VMEEF,"18,377.30 VN₫",81.62,"1,499,955.23 VN₫","1,500,000.00 VN₫"
2026-03-03,VMEEF,"18,355.97 VN₫",81.71,"1,499,866.31 VN₫","1,500,000.00 VN₫"
2026-03-10,VMEEF,"16,307.39 VN₫",91.98,"1,499,953.73 VN₫","1,500,000.00 VN₫"
2026-03-17,VMEEF,"17,130.04 VN₫",87.56,"1,499,906.30 VN₫","1,500,000.00 VN₫"
2026-03-24,VMEEF,"16,421.23 VN₫",91.34,"1,499,915.15 VN₫","1,500,000.00 VN₫"
2026-03-31,VMEEF,"17,289.94 VN₫",86.75,"1,499,902.30 VN₫","1,500,000.00 VN₫"
2026-04-07,VMEEF,"16,839.91 VN₫",89.07,"1,499,930.78 VN₫","1,500,000.00 VN₫"
2026-04-14,VMEEF,"17,381.08 VN₫",86.30,"1,499,987.20 VN₫","1,500,000.00 VN₫"
2026-04-21,VMEEF,"17,644.40 VN₫",85.01,"1,499,950.44 VN₫","1,500,000.00 VN₫"
2026-05-05,VMEEF,"17,175.80 VN₫",87.33,"1,499,962.61 VN₫","1,500,000.00 VN₫"
2026-05-12,VMEEF,"17,054.87 VN₫",87.95,"1,499,975.82 VN₫","1,500,000.00 VN₫"
2026-05-19,VMEEF,"17,039.85 VN₫",88.02,"1,499,847.60 VN₫","1,500,000.00 VN₫"
2026-05-26,VMEEF,"16,778.36 VN₫",89.40,"1,499,985.38 VN₫","1,500,000.00 VN₫"
2026-06-02,VMEEF,"16,718.26 VN₫",89.72,"1,499,962.29 VN₫","1,500,000.00 VN₫"
2026-06-09,VMEEF,"16,349.56 VN₫",91.74,"1,499,908.63 VN₫","1,500,000.00 VN₫"
2026-06-16,VMEEF,"16,691.55 VN₫",89.86,"1,499,902.68 VN₫","1,500,000.00 VN₫"
